System,System_ID,PACCAR_ID,Address,Name,City,Region,Country,Postal_Code
PTS,,16469AA197,405 Pencader Drive,EAR Specialty Composites,NEWARK,DE,USA,19702
CASS,P,UNK,405 RAYMOND BLVD,ASSOCIATED AUTO BODY TRUCK,NEWARK,NJ,US,7105
CASS,P,L660 004,405 SMITH RD,MHC TRUCK LEASING JONESBURG,JONESBURG,MO,US,63351
CASS,P,N908023,405 W US HWY 74,SUPERIOR CRANE,ROCKINGHAM,NC,US,28379
CASS,P,Z314 001,4050 BROADWAY,GOSELIN TRANSPORTATION,EUREKA,CA,US,95501
CASS,T,UNK,4050 CORPORATE DR,PARTS DISTRIBUTING CO,GRAPEVINE,TX,US,76051
CASS,P,UNK,4050 MALLARD DR,SEG TRUCKING,CONCORD,CA,US,94520
SAP S4,SAP S4,306591,4050 MAPLE VALLEY HWY,NRE INC,RENTON,WA,US,98058
CASS,T,UNK,4050 MATTHEWS INDIAN TRAIL RD,JOE GRANT,MATTHEWS,NC,US,28104
CASS,T,UNK,4050 N COLOR PLANT RD,SOLOMON COLORS,SPRINGFIELD,IL,US,62702
CASS,T,UNK,4050 N LONG RD,COLE TECH,COLUMBUS,IN,US,47203
PTS,,06257BE431,4050 Rock Creek Blvd,Accuride Distributing - Joliet,JOLIET,IL,USA,60431
CASS,P,UNK,4050 W I-40 SERVICE RD,WFX CITY DISPATCH,OKLAHOMA CITY,OK,US,73108
SAP S4,SAP S4,M431,4054 STATE RD 308,KW OF PENNS -CLINTONVILLE,CLINTONVILLE,PA,US,16372
CASS,P,UNK,4054 STATE RD 308,PACCARR PARTS,CLINTONVILLE,PA,US,16372
CASS,P,M431,4054 STATE ROAD 308,KENWORTH OF PENNSYLVANIA,CLINTONVILLE,PA,US,16372
PTS,,M431,4054 State Road 308,Kenworth of Pennsylvania,CLINTONVILLE,PA,USA,16372
CASS,P,Q431,4054 STATE ROUTE 308,MOTOR TRUCK EQUIPMENT CO,CLINTONVILLE,PA,US,16372
CASS,P,Z441,4054 STATE RTE 308,KENWORTH,HARRISVILLE,PA,US,16038
PTS,,3376,405-409 EAST SOUTH STREET,ST MARYS FOUNDRY,ST MARYS,OH,USA,45885
CASS,P,UNK,4055 LINDEN ST,RED FOX RESOURCES,EMERYVILLE,CA,US,94608
CASS,P,14421AA727,4055 N COUNTRY CLUB ROAD,WEBB WHEEL PRODUCTS,SILOAM SPRINGS,AR,US,72761
PTS,,14421AA727,4055 N. Country Club Road,Webb Wheel Products,SILOAM SPRINGS,AR,USA,72761
CASS,T,UNK,4056 BARTHOLD RD,PETERBILT REMOTE LOT,DENTON,TX,US,76207
SAP S4,SAP S4,303558,4057 DAVIS AVENUE,ROBERT KUCHTA,GRAND ISLAND,NE,US,68803
CASS,T,UNK,4058 BLVD LE CORBUSIER,M L AIR INC,LAVAL,QC,CA,H7L5R2
SAP S4,SAP S4,305950,4058 BOULEVARD LE CORBUSIER,ML AIR (2018) INC,LAVAL,QC,CA,H7L 5R2
CASS,P,UNK,4059 BAKERVIEW VALLEY RD,LUDTKE PACIFIC TRUCKING,BELLINGHAM,WA,US,98226
CASS,P,UNK,406 AIR PARK DRIVE,V/H FORD INC,PRENTICE,WI,US,54556
CASS,D,05469AT,406 N 6TH ST,DONALDSON COMPANY,MONTICELLO,IN,US,47960
CASS,T,09539AA,406 PLAZA DR,JULIAN ELECTRIC INC,WESTMONT,IL,US,60559
BAAN,BAAN,21668AA,406 PLAZA DRIVE,JULIAN ELECTRIC INC.,WESTMONT,IL    ,US    ,60559
CASS,T,SWIFTTERM,406 SUMMIT ROAD,SWIFT TERMINAL,EDEN,NC,US,27288
CASS,P,W014,406 TURNPIKE INDUSTRIAL PARK,WORLDWIDE EQUIPMENT INC,PRINCETON,WV,US,24740
CASS,P,UNK,4060 BASKILL ROAD,WAGNER MILLWORK,OWEGO,NY,US,13827
SAP S4,SAP S4,303237,4060 E PLANO PKWY,WINZER CORP,PLANO,TX,US,75074
SAP S4,SAP S4,306934,40600 PLYMOUTH RD,DURR SYSTEMS INC,PLYMOUTH,MI,US,48170-4297
CASS,T,UNK,40600 PLYMOUTH ROAD,DURR SYSTEMS INC MARK LEFRANC,PLYMOUTH,MI,US,48170
SAP S4,SAP S4,304522,4063 SOUTH FREEWAY,METRO GOLF CARS INC,FORT WORTH,TX,US,76110
CASS,T,20742AA,4065 COMMERCIAL AVENUE,OLD WORLD INDUSTRIES,NORTHBROOK,IL,US,60062
SAP S4,SAP S4,20742AA,4065 COMMERCIAL AVENUE,OLD WORLD INDUSTRIES,NORTHBROOK,IL,US,60062-1851
BAAN,BAAN,20742AA,4065 COMMERCIAL AVENUE,OLD WORLD INDUSTRIES,NORTHBROOK,IL,US    ,76205-5277
PTS,,20742AA,4065 COMMERCIAL AVENUE,OLD WORLD INDUSTRIES,NORTHBROOK,IL,USA,60062
CASS,P,UNK,4065 DAN HANKS LN,PENSKE TRUCK LEASING,SAN ANGELO,TX,US,76903
CASS,T,UNK,4065 MARCEL LACASSE,ACTIVE CANADA,BOISBRIAND,QC,CA,J7H1H4
CASS,P,UNK,4068 35TH AVE NE,FOREST RIVER COLONY,FORDVILLE,ND,US,58231
CASS,P,UNK,4068 W WINNEMUCCA BLVD,SOUTHWEST ENERGY,WINNEMUCCA,NV,US,89445
CASS,P,UNK,40684 S COUNTY ROAD 206,HIGH GEAR REPAIR,WOODWARD,OK,US,73801
CASS,W,UNK,407 4th Floor Regus Pune Metro,Paccar India Private Limited,PUNE,XX,IN,411045
SAP S4,SAP S4,305951,407 COTE SAINT-ANGE,IMAGIN/CARTO-GRAPH ENR,CHICOUTIMI,QC,CA,G7J 1K3
SAP S4,SAP S4,305413,407 COUNTY ROAD 33715,RANDALL ALAN WOODS,PARIS,TX,US,75460
CASS,P,UNK,407 GREENVILLE RD,JIM WHITAKER TRUCKING,WHITE PLAINS,KY,US,42464
CASS,P,UNK,407 HWY 62,JIMS TRUCK PARTS,WHITE PLAINS,KY,US,42464
CASS,T,UNK,407 N 13TH ST,MATERION,MILWAUKEE,WI,US,53233
CASS,P,S051010,407 S EASON BLVD,CLARKE POWER SERVICES,TUPELO,MS,US,38804
SAP S4,SAP S4,303135,407 W VINE ST,AIP-BI HOLDINGS INCAIP-BI HOLDINGS,HATFIELD,PA,US,19440
CASS,P,UNK,407 WEST SIOUX ROAD,ROYAL FREIGHT,PHARR,TX,US,78577
SAP S4,SAP S4,301265,"407, 4TH FLOOR, REGUS PUNE",PACCAR INDIA PRIVATE LIMITED,BANER PUNE PUNE,,IN,411045
SAP S4,SAP S4,307426,4070 PERIMETER DRIVE,BRECHBUHLER SCALES INC,COLUMBUS,OH,US,43228
SAP S4,SAP S4,303217,4070 WATSON RD,KEITH E. FRANCIS,CHILLICOTHE,OH,US,45601
Winch,,8595,4071 ALBANY STREET,KWIK MARK INC,MCHENRY,IL,US,60050
CASS,T,UNK,4075 CHANNEL DR,FEDEX FREIGHT,SACREMENTO,CA,US,95691
CASS,T,FEDEXTERM,4075 CHANNEL DR,FEDEX FREIGHT WEST,WEST SACRAMENTO,CA,US,95691
CASS,T,FEDEXTERM,4075 CHANNEL DR,FEDEX FREIGHT WEST,WEST SACRAMENTO,CA,US,95691
SAP S4,SAP S4,306611,4076 FISHER RD,NELBUD,COLUMBUS,OH,US,43228
SAP S4,SAP S4,301270,4076 PAYSPHERE CIRCLE,TALX CORPORATION,CHICAGO,IL,US,60674
CASS,T,FEDEXTERM,4077 N NORFLEET RD,FEDEX FREIGHT LEONI WIRING SYS,RANDOLPH,MO,US,64161
CASS,W,2697,408 ACORN LANE,ECE ELECTRONICS,DOWNINGTOWN,PA,US,19335
PTS,,2697,408 ACORN LANE,ECE ELECTRONICS,DOWNINGTOWN,PA,USA,19335
CASS,P,20434AA071,408 CENTRAL AVENUE,VEHICLE SAFETY MANUFACTURING,NEWARK,NJ,US,7107
PTS,,20434AA071,408 Central Avenue,Vehicle Safety Manufacturing,NEWARK,NJ,USA,7107
CASS,P,UNK,408 E WASHINGTON RD,PIERCY AUTO BODY,CARLOCK,IL,US,61725
SAP S4,SAP S4,305952,408 FAIRALL STREET,COMPAGNIE SYSTEMES DE REVETEMENTS,AJAX,ON,CA,L1S 1R6
CASS,T,UNK,408 FAIRRALL ST,AXALTA COATING,AJAX,ON,CA,L1Z0B6
CASS,P,UNK,408 GEOFF MOUNTAIN ROAD,WORLDWIDE EQUIPMENT,CROSS LANES,WV,US,25313
CASS,W,UNK,408 HWY 49 S,STRIBLING EQUIPMENT,RICHLAND,MS,US,39218
SAP S4,SAP S4,304023,408 PLACE SOUTHWEST,RANDALL MILLER,LENIOR,NC,US,28645
CASS,P,UNK,408 SHEELY LANE,NEW HBG TRUCK BODY,MECHANICSBURG,PA,US,17050
CASS,P,UNK,408 WEST 100 SOUTH,HELLS SAND AND GRAVEL,REDMOND,UT,US,84652
SAP S4,SAP S4,300354,4080 148TH AVENUE NE,ZEN3 INFOSOLUTIONS AMERICA INC,REDMOND,WA,US,98052
SAP S4,SAP S4,W759,4080 JENKINS RD,US XPRESS - CHATTANOOGA,CHATTANOOGA,TN,US,37421
SAP S4,SAP S4,F163,4080 JENKINS ROAD,US XPRESS  INC,CHATTANOOGA,TN,US,37421
SAP S4,SAP S4,300344,4080 MCGINNIS FERRY RD SUITE 1203,UNICORN TECHNOLOGIES LLC,ALPHARETTA,GA,US,30005
CASS,T,UNK,4080 ROGER B CHAFFEE MEM DE SE,PRO FINISH POWDER COATING,GRAND RAPIDS,MI,US,49548
CASS,T,UNK,4080 ROGER B CHAFFEE MEMORIAL,KNOEDLER / 4080 ROGER B,WYOMING,MI,US,49548
PTS,,10225AA,4080 ROGER B CHAFFEE MEMORIAL DR,KNOEDLER MANUFACTURERS,WYOMING,MI,USA,49548
PTS,,10225AC,4080 ROGER B CHAFFEE MEMORIAL DR,KNOEDLER MANUFACTURERS,WYOMING,MI,USA,49548
CASS,P,Z020 001,4080 ROSEMARY ST,SWIFT TRANSPORTATION,DENVER,CO,US,80216
SAP S4,SAP S4,304859,4080 SEAPORT BOULEVARD,BENETO FOUNDATION,WEST SACRAMENTO,CA,US,95691
CASS,P,UNK,4082 HOEPKER RD,MOBILITY PLUS,MADISON,WI,US,53704
CASS,P,UNK,4086 W 3000 S,JIM NEBEKER TRUCKING,ROOSEVELT,UT,US,84066
CASS,P,UNK,4089 HWY 57 BLVD,HADER FARMS,ZUMBROTA,MN,US,55992
CASS,T,20300AA,409 3RD STREET ROUTE 950 SOUTH,ALLEGHENY CLEARFIELD FALLS,FALLS CREEK,PA,US,15840
PTS,,20300AA,409 3RD STREET ROUTE 950 SOUTH,NetShape Technologies,FALLS CREEK,PA,USA,15840
CASS,P,UNK,409 E WALLISVILLE RD,SHELL OIL PRODUCTS-HIGHLANDS,HIGHLANDS,TX,US,77562
KW Australia,,6010285,409 E WALLISVILLE RD,OLD WORLD IND / RHINOPAK,HIGHLANDS,TX,US    ,77562
Winch,,5701,409 PARKWAY DRIVE,MOCAP PLASTIC PRODUCTS,PARK HILLS,MO,US    ,63601
CASS,P,UNK,409 RTE 82,ROYAL CARTING,HOPEWELL JUNCTION,NY,US,12533
CASS,P,A134,409 S 24TH ST,ALLSTATE PB OF CLEAR LAKE,CLEAR LAKE,IA,US,50428
CASS,P,UNK,409 S NORRIS ST,CUMMINS NATURAL GAS ENGINES,CLOVIS,NM,US,88101
SAP S4,SAP S4,306260,409 SOUTH 12TH AVE,YAKIMA WORKER CARE,YAKIMA,WA,US,98902
SAP S4,SAP S4,301275,"409 SOUTH 17 ST, 500 ENERGY PLAZA",FRASER STRYKER PC LLO,OMAHA,NE,US,68102-2663
SAP S4,SAP S4,A134,409 SOUTH 24TH STREET,ALLSTATE PETERBILT OF CLEAR LAKE,CLEAR LAKE,IA,US,50428
CASS,P,T200 001,4090 NORTH US HIGHWAY 79,5J TRUCKING,PALESTINE,TX,US,75801
SAP S4,SAP S4,305953,4090 RUE LAVOISIER,ACIER TAG RIVE-NORD,BOISBRIAND,QC,CA,J7H 1R4
CASS,P,UNK,4090 SOUTHSIDE EXPRESS,K AND D AUTO BODY,KLAMATH FALLS,OR,US,97603
CASS,P,P302,4093 U S HIGHWAY 11,PETERBILT OF HATTIESBURG LLC,HATTIESBURG,MS,US,39402
PTS,,P302,4093 U.S. Highway 11,"Peterbilt of Hattiesburg, LLC",HATTIESBURG,MS,USA,39402
SAP S4,SAP S4,B269,4093 US 11,PERFORMANCE PB HATTIESBURG,HATTIESBURG,MS,US,39402
SAP S4,SAP S4,P302,4093 US-11,PB OF HATTIESBURG,HATTIESBURG,MS,US,39402
CASS,P,UNK,4095 SHABBONA RD,MCEACHIN EXCAVATING,DECKERVILLE,MI,US,48427
CASS,T,UNK,40984 CONCEPT DR,ROFIN SINCAR INC,PLYMOUTH,MI,US,48170
CASS,P,UNK,41 750 ALA KOA ST,OZZYS CONSTRUCTION,WAIMANALO,HI,US,96795
CASS,P,UNK,41 BRICK PLANT ROAD,D R AUTO BODY,WOMELSDORF,PA,US,19567
CASS,T,00121PB,41 BUTTERFIELD TRAIL,PACKARD ELECTRIC DIVISION,EL PASO,TX,US,79906
PTS,,00121PB,41 BUTTERFIELD TRAIL,PACKARD ELECTRIC DIVISION,EL PASO,TX,USA,79906
CASS,W,3911,41 CROWN,GREENERD PRESS MACH INC,NASHUA,NH,US,3060
SAP S4,SAP S4,305954,41 DE L EGLISE,MARC GUERIN MD FRCPC,VERDUN,QC,CA,H4G 2L8
CASS,P,UNK,41 GOLDING ST,BUMSTEAD TRUCKING,NEW LISKEARD,ON,CA,P0J1P0
SAP S4,SAP S4,V351,41 HERCULES DR,PB OF VERMONT - COLCHESTER,COLCHESTER,VT,US,5446
CASS,P,V351,41 HERCULES DR,PETERBILT OF VERMONT,COLCHESTER,VT,US,5446
PTS,,V351,41 Hercules Dr,Peterbilt of Vermont,COLCHESTER,VT,USA,5446
CASS,P,UNK,41 INDUSTRIAL CIR,PACER PUMPS,LANCASTER,PA,US,17601
CASS,P,P011 003,41 INDUSTRIAL RD,JACK WATSON LOGGING,MANITOUWADGE,ON,CA,P0T2C0
SAP S4,SAP S4,302645,41 S HIGH ST #1690,ASSOCIATION OF INDEPENDENT COLLEGE,COLUMBUS,OH,US,43215
SAP S4,SAP S4,P677,41 VIC TURNER AIRPORT RD,PB PACIFIC - DAWSON CREEK,DAWSON CREEK,BC,CA,V1G 0G1
CASS,W,1012,41 WAUKEGAN ROAD,BUEHLER,LAKE BLUFF,IL,US,60044
PTS,,1012,41 WAUKEGAN ROAD,BUEHLER,LAKE BLUFF,IL,USA,60044
SAP S4,SAP S4,302677,"410 CHARLES YOUNG DR E, MURPHY HALL",UNIVERSITY OF CALIFORNIA,LOS ANGELES,CA,US,90024
CASS,T,UNK,410 E 1ST AVE,CORTEC ADVANCED FILM DIVISION,CAMBRIDGE,MN,US,55008
CASS,T,UNK,410 MAIN AVE E,INDUSTRIAL FINISHING,DEER CREEK,MN,US,56527
CASS,P,Z247 001,410 NORTH 200 W,JBS USA,HYRUM,UT,US,84319
SAP S4,SAP S4,303119,410 PARKPLACE CENTER,"WAVE DIVISION HOLDINGS, LLC",KIRKLAND,WA,US,98033
SAP S4,SAP S4,303478,410 PEACE ST,ROBERT H REIFSCHNEIDER,LACROSSE,KS,US,67548
CASS,P,UNK,410 TRIPORT RD,JRS TRUCKING,GEORGETOWN,KY,US,40324
CASS,P,UNK,410 W GROVE AVE,RYDER TRUCK STRAUB DISTRIBUTING,ORANGE,CA,US,92865
CASS,P,UNK,410 W JOHNSON,EXTREME TRANSFER LLC,CLAY CENTER,NE,US,68933
SAP S4,SAP S4,301280,"4100 194TH ST SW, SUITE 1400",STANTEC CONSULTING SERVICES,LYNNWOOD,WA,US,98036-4613
SAP S4,SAP S4,305955,4100 BRODEUR,LE GROUPE TRESK INC,SHERBROOKE,QC,CA,J1L 1V9
CASS,W,UNK,4100 CHESTNUT AVE,LIEBHERR AMERICAN INC,NEWPORT NEWS,VA,US,23607
CASS,P,UNK,4100 DUCKHORN DR,UNIVERSAL TECHNICAL INSTITUTE,SACRAMENTO,CA,US,95834
CASS,T,UNK,4100 HITVH PETERS RD,XPO LOGISTICS,EVANSVILLE,IN,US,47711
CASS,P,UNK,4100 HWY 1,BRENTS SERVICE REPAIR,LAKOTA,ND,US,58344
CASS,P,UNK,4100 N ATLANTIC BLVD,DAVID HENGEHOLD,AUBURN HILLS,MI,US,48326
CASS,P,UNK,4100 N KIMBALL DR,TRANSPORT AMERICA,KANSAS CITY,MO,US,64161
CASS,P,B340,4100 S TRANSPORT ST,KENWORTH SALES BOISE,BOISE,ID,US,83705
PTS,,B340,4100 S Transport St,Kenworth Sales-Boise,BOISE,ID,USA,83705
SAP S4,SAP S4,305088,4100 SOUTH 663 WEST,JAMES H.CLARK & SON INC,SALT LAKE CITY,UT,US,84123
SAP S4,SAP S4,B340,4100 SOUTH TRANSPORT STREET,KENWORTH SALES COMPANY BOISE,BOISE,ID,US,83705
SAP S4,SAP S4,B400,4100 TRANSPORT STREET,NORCAL KENWORTH SAN LEANDRO,SAN LEANDRO,CA,US,94577
CASS,T,UNK,4100 W MARGINAL WAY SW,FERGUSON ENTERPRISES,SEATTLE,WA,US,98106
CASS,P,21582AA,4100 WESTERN PLEASURE,GUTHRIE ENTERPRISES,MILFORD,MI,US,48381
CASS,P,21582AA4,4100 WESTERN PLEASURE,GUTHRIE ENTERPRISES,MILFORD,MI,US,48381
SAP S4,SAP S4,302560,4100 WESTERN PLEASURE,GUTHRIE ENTERPRISES INC,MILFORD,MI,US,48381
PTS,,21582AA483,4100 Western Pleasure,Guthrie Enterprises,MILFORD,MI,USA,48381
CASS,W,4713,4100 WILL ROGERS PKWY STE 200,HEUBEL MATERIAL HANDLING INC,OKLAHOMA CITY,OK,US,73108
PTS,,4713,"4100 WILL ROGERS PKWY, STE 200",HEUBEL MATERIAL HANDLING INC,OKLAHOMA CITY,OK,USA,73108
CASS,P,UNK,4101 148TH ST NW,JERRYS TOWING,CLEARWATER,MN,US,55320
CASS,P,UNK,4101 19TH AVE N,JOHN DEERE ELECTRONIC,FARGO,ND,US,58102
SAP S4,SAP S4,306333,4101 AIRPORT WAY S,TUXEDOS AND TENNIS SHOES CATER,SEATTLE,WA,US,98108
CASS,P,D103011,4101 BEMIDJI AVE NE,KNIFE RIVER MATERIALS,BEMIDJI,MN,US,56601
SAP S4,SAP S4,307343,4101 BOULEVARD INDUSTRIEL,JOHN BROOKS COMPANY LIMITED,LAVAL,QC,CA,H7L 6G9
CASS,P,UNK,4101 E US 50,AFFORDABLE TODD WRECKER SER,DILLSBORO,IN,US,47018
CASS,P,UNK,4101 FULTON,PACCAR PARTS DIVISION,HOUSTON,TX,US,77029
CASS,P,M456,4101 KINNEY COULEE RD N,WISCONSIN KENWORTH LA CROSSE,ONALASKA,WI,US,54650
CASS,T,UNK,4101 SE 85TH ST,CMP CORP,OKLAHOMA CITY,OK,US,73135
CASS,T,30901AA,4101 SW 113TH STREET,CUSTOM MANUFACTURING,OKLAHOMA CITY,OK,US,73173
PTS,,30901AA,4101 SW 113TH STREET,CUSTOM MANUFACTURING,OKLAHOMA CITY,OK,USA,73173
SAP S4,SAP S4,304299,4101 VISCOUNT AVE,SOUTHERN PERFECTION FAB,MEMPHIS,TN,US,38118
CASS,T,16420AA,4101 VISCOUNT AVE,SOUTHERN SYSTEMS,MEMPHIS,TN,US,38118
SAP S4,SAP S4,301285,4101 VISCOUNT AVENUE,SOUTHERN SYSTEMSINC,MEMPHIS,TN,US,38118-0000
CASS,T,UNK,4102 44TH AVE,PETROFIELD INDUSTRIES,STETTLER,AB,CA,T0C2L0
CASS,D,UNK,4102 AIRPARK DR,CARRS DELIVERY,LAREDO,TX,US,78041
CASS,T,20528AB,4102 BOULEVARD INDUSTRIEL,WURTH  SERVICE SUPPLY INC,CHOMEDEY,QC,CA,H7L6C3
PTS,,20528AB,4102 BOULEVARD INDUSTRIEL,WURTH / SERVICE SUPPLY INC,CHOMEDEY,QC,CA    ,H7L6C3
CASS,P,UNK,4102 S 1440 EAST CIR,JP EXCAVATING,SAINT GEORGE,UT,US,84790
CASS,T,UNK,4102 US 74 WEST,ROCKY RIVER,MONROE,NC,US,28110
CASS,T,20854AA,4103 43RD AVENUE WEST,KISSLING ELECTROTEC INC,BRADENTON,FL,US,34205
PTS,,20854AA,4103 43RD AVENUE WEST,KISSLING ELECTROTEC INC,BRADENTON,FL,USA,34205
CASS,P,UNK,4104 W MILITARY HWY,ANDREW CORP,MISSION,TX,US,78572
SAP S4,SAP S4,301290,4105 BALL ROAD NE,BERMO INC,CIRCLE PINES,MN,US,55014-0000
CASS,P,UNK,4105 LANCASTER DR SE,RIVER BEND SAND GRAVEL,SALEM,OR,US,97317
CASS,P,UNK,4105 NW 44TH AVENUE,J M TRAILER REPAIR,OCALA,FL,US,34482
CASS,T,UNK,4105 RUE HICKMORE,GROUPE POLYALTO INC,SAINT LAURENT,QC,CA,H4T1A5
SAP S4,SAP S4,305956,4105-G BOULEVARD MATTE,BIRON - LABORATOIRE MEDICAL SEC,BROSSARD,QC,CA,J4Y 2P4
CASS,P,UNK,4106 S CHADBOURNE,FLEETPRIDE,SAN ANGELO,TX,US,76903
SAP S4,SAP S4,303913,41069 RUE CHENE,DARRYL WILLIAMS,PONCHATOULA,LA,US,70454
SAP S4,SAP S4,307023,41069 VINCENTI CT,COMMERCE CONTROLS INC,NOVA,MI,US,48375
CASS,T,UNK,41069 VINCENTI CT,COMMERCE CONTROLS,NOVI,MI,US,48375
CASS,T,20728AA,4107 PACIFIC HIGHWAY EAST,GCR TIRE CENTER,TACOMA,WA,US,98424
CASS,P,UNK,4107 S SAM HOUSTON PKWY WEST,MR BOTLS INC,HOUSTON,TX,US,77053
Winch,,8421,4109 S 72ND EAST AVE,"CONCRETE VISIONS, INC",TULSA,OK,US,74145
CASS,P,UNK,411 33RD ST,KENNYS CONSTRUCTION,WILSON,KS,US,67490
CASS,T,10071CB,411 BLACKHAWK PARK AVE,GUNITE CORPORATION,ROCKFORD,IL,US,61104
PTS,,10071CB,411 BLACKHAWK PARK AVE,GUNITE CORPORATION,ROCKFORD,IL,USA,61104
PTS,,I250,411 Delware Ave,MHC Kenworth-Des Moines,DES MOINES,IA,USA,50313
CASS,P,K421047,411 DIVIDEND DR,UNIVERSAL ENVIRONMENTAL,PEACHTREE CITY,GA,US,30269
CASS,P,H192013,411 E HAWILI CENTER,AUTOMOTIVE SUPPLY CENTER,HILO,HI,US,96720
SAP S4,SAP S4,301295,411 EAST WISCONSIN AVENUE,VON BRIESEN AND ROPER S.C.,MILWAUKEE,WI,US,53202-4409
SAP S4,SAP S4,303342,411 HACKENSACK AVE,RENNSTEIG TOOLS INC,HACKENSACK,NJ,US,07601-6331
SAP S4,SAP S4,305957,411 JOHN F KENNEDY,EQUIPEMENT DE BUREAU,SAINT-JEROME,QC,CA,J7Y 4B5
CASS,T,UNK,411 JONESTOWN RD,SUPREME CORP,JONESTOWN,PA,US,17033
CASS,P,UNK,411 LOCUST STREET,ERIC M THOMPSON TRUCKING,HENDERSON,WV,US,25271
CASS,P,UNK,411 OLD COUNTRY ROAD,A & M TRUCK REPAIR,EDGEWATER,FL,US,32132
CASS,P,UNK,411 RAILROAD AVE,JACK BUELL,ST MARIES,ID,US,83861
CASS,P,UNK,411 RAILROAD AVE,JACK BUELL,ST MARIES,ID,US,83861
CASS,T,20818AA,411 REYNOLDSBURG NEW ALBANY,ACTION GROUP INC,BLACKLICK,OH,US,43003
PTS,,20818AA,411 REYNOLDSBURG/NEW ALBANY ROAD,ACTION GROUP INC,BLACKLICK,OH,USA,43003
CASS,P,K964,411 S GOODMAN RD,KENWORTH OF SOUTH LOUISIANA,LAKE CHARLES,LA,US,70615
SAP S4,SAP S4,301300,"411 SW SECOND AVENUE, SUITE 200",RIZZO MATTINGLY BOSWORTH P.C.,PORTLAND,OR,US,97204
CASS,P,L048,4110 18 AVE N,PETERBILT LETHBRIDGE,LETHBRIDGE,AB,CA,T1H6N7
CASS,P,L048,4110 18TH AVE N,PETERBILT LETHBRIDGE,LETHBRIDGE,AB,CA,T1H6N7
PTS,,L048,4110 18th Ave N.,Peterbilt Lethbridge,LETHBRIDGE,AB,CA    ,T1H6N7
SAP S4,SAP S4,305001,4110 18TH AVENUE NORTH,PETERBILT LETHBRIDGE,LETHBRIDGE,AB,CA,T1H 6N7
CASS,P,UNK,4110 26TH ST,BLACK GOLD TRANSPORT,DORR,MI,US,49323
CASS,P,UNK,4110 9 AVENUE NORTH,DUNLOP WESTERN STAR TRUCK CENT,LETHBRIDGE,AB,CA,T1H6L9
SAP S4,SAP S4,Q312,4110 KOCHS LN,QUINCY PB,QUINCY,IL,US,62305
CASS,P,Q312,4110 KOCHS LN,QUINCY PETERBILT,QUINCY,IL,US,62305
PTS,,Q312,4110 Kochs LN,Quincy Peterbilt,QUINCY,IL,USA,62305
CASS,P,Q312,4110 KOCKS LN,QUINCY PETERBILT,QUINCY,IL,US,62305
CASS,W,ABFTERM,4110 S JACKSON,ABF DISTRIBUTION CENTER,TULSA,OK,US,74107
CASS,P,K220,4111 DELAWARE AVE,KENWORTH MID IOWA INC,DES MOINES,IA,US,50313
CASS,P,UNK,4111 DELAWARE AVE,MHC KENWORTH DES MOINES,DES MOINES,IA,US,50313
SAP S4,SAP S4,I250,4111 DELAWARE AVE,MHC KW - DES MOINES,DES MOINES,IA,US,50313
PTS,,K220,4111 Deleware Ave,Kenworth Mid Iowa Inc,DES MOINES,IA,USA,50313
CASS,W,6874,4111 N GARNETT RD,WALVOIL FLUID POWER,TULSA,OK,US,74116
CASS,W,3656,4111 NORTHSIDE PKWY,IBM DIRECT,ATLANTA,GA,US,30327
PTS,,3656,4111 NORTHSIDE PKWY,IBM DIRECT,ATLANTA,GA,USA,30327
CASS,T,UNK,41123 JO DR,FROUDE HOFMANN INC,NOVI,MI,US,48375
SAP S4,SAP S4,300857,41123 JO DRIVE,FROUDE INC,NOVI,MI,US,48375
CASS,T,27880AA,4113 MURRAY AVENUE,METAL CLEANING SYSTEMS,HALTOM,TX,US,76117
PTS,,27880AA,4113 MURRAY AVENUE,METAL CLEANING SYST,HALTOM,TX,USA,76117
SAP S4,SAP S4,W800,4113 W YELLOWSTONE HWY,PB OF WYOMING - CASPER,CASPER,WY,US,82604
SAP S4,SAP S4,Y874,4113 W YELLOWSTONE HWY,PB OF WYOMING - CASPER DSFW,CASPER,WY,US,82604
CASS,P,W800,4113 W YELLOWSTONE HWY,PETERBILT OF WYOMING CASPER,CASPER,WY,US,82604
CASS,P,W800,4113 W YELLOWSTONE HWY,PETERBILT OF WYOMING CASPER,CASPER,WY,US,82604
PTS,,W800,4113 W Yellowstone Hwy,Peterbilt of Wyoming - Casper,CASPER,WY,USA,82604
SAP S4,SAP S4,305142,4113 W. YELLOWSTONE,WYOMING TRUCKING ASSOC.,CASPER,WY,US,82604
CASS,T,UNK,4115 POLYMER PL,STONHARD,FORT WAYNE,IN,US,46809
CASS,T,UNK,4115 POLYMER PL,STONHARD,FORT WAYNE,IN,US,46809
CASS,T,UNK,4115 RUE COUSENS,PLASTIQUES PIEDMONT INC,ST LAURENT,QC,CA,H1S1V6
SAP S4,SAP S4,305958,4115 RUE ONTARIO EST,LES ALCHIMISTES CONSEILS INC,MONTREAL,QC,CA,H1V 1J7
CASS,P,UNK,41155 JOY RD,METALTECH STEEL ABRASIVE CO,CANTON,MI,US,48187
CASS,P,D55282,4116 TIDWELL,3J TRUCKING,CARLSBAD,NM,US,88220
CASS,P,UNK,41166 STATE RT 6,FENTON WELDING SERVICE CENTER,WYALUSING,PA,US,18853
