System,System_ID,PACCAR_ID,Address,Name,City,Region,Country,Postal_Code
KW Australia,,7626500,1 Christensen Rd,Imex Queensland Pty Ltd,STAPYLTON,QLD,AU    ,4207
CASS,P,UNK,1 CHURCHVIEW RD,RELIABLE CONTRACTING,MILLERSVILLE,MD,US,21108
CASS,T,79846AA,1 CIENEGAS RD,ALCOA TECHNICAL SUPPORT,DEL RIO,TX,US,78840
PTS,,79846AA,1 Cienegas RD,ALCOA TECHNICAL SUPPORT,DEL RIO,TX,USA,78840
CASS,P,UNK,1 CLOVER PL,UPS NJEDI,EDISON,NJ,US,8837
CASS,T,UNK,1 COLLEGE DR,ILLINOIS CENTRAL COLLEGE,EAST PEORIA,IL,US,61635
CASS,T,UNK,1 COLLEGE DR,ILLINOIS CENTRAL COLLEGE,EAST PEORIA,IL,US,61635
CASS,P,UNK,1 CONLON AVE,SPALLINA MATERIALS INC,MOUNT MORRIS,NY,US,14510
SAP S4,SAP S4,302582,"1 COPLEY PKWY, SUITE 104",BIJUR DELIMON INTERNATIONAL,MORRISVILLE,IL,US,27560
CASS,T,08431AA,1 CORPORATE DR,ALCOA FASTENING SYS,KINGSTON,NY,US,12401
SAP S4,SAP S4,302442,1 CORPORATE DRIVE,HUCK INTERNATIONAL INC,KINGSTON,NY,US,12401
SAP S4,SAP S4,302750,1 CUNNINGHAM SQUARE,PROVIDENCE COLLEGE,PROVIDENCE,RI,US,2918
CASS,P,UNK,1 CURRIE DR,CURRIE TRUCK,BARRIE,ON,CA,L4M6E9
SAP S4,SAP S4,A300,1 DEPOT HILL ROAD,AVIANT,ENFIELD,CT,US,6082
CASS,P,C975,1 DEPOT HILL ROAD,TRI STATE KENWORTH,ENFIELD,CT,US,6082
CASS,T,21166AA,1 DEPOT HILL ROAD,TRI STATE KENWORTH,ENFIELD,CT,US,6083
PTS,,A300,1 Depot Hill Road,Aviant Truck Cnt-Tri-State Kenworth,ENFIELD,CT,USA,6082
PTS,,21166AA,1 DEPOT HILL ROAD,TRI - STATE KENWORTH,ENFIELD,CT,USA,6083
PTS,,Q302,1 Depot Hill Road,Tri-State Kenworth,ENFIELD,CT,USA,6082
CASS,P,UNK,1 DOT WAY,DOT TRANSPORTATION,MOUNT STERLING,IL,US,62353
CASS,T,UNK,1 DUDLEY AVE,ULBRICH STEEL,WALLINGFORD,CT,US,6492
KW Australia,,7005177,1 Dunlopillo Drive,Dunlop Bedding Pty Ltd,DANDENONG,VIC,AU    ,3175
SAP S4,SAP S4,302622,1 E JACKSON BLVD,DEPAUL UNIVERSITY,CHICAGO,IL,US,60604
BAAN,BAAN,12228AA,1 E. COMMERCE DR.,OMRON ELECTRONICS INC,SCHAWNBURG,IL    ,US    ,60173
SAP S4,SAP S4,12228AA,1 EAST COMMERCE DRIVE,OMRON ELECTRONICS INC,SCHAUMBERG,IL,US,60173
BAAN,BAAN,50019AA,1 EAST MAIN STREET,"DDP SPECIALTY ELECTRONIC MATERIALS US, INC",BAY CITY,MI  ,US    ,48708
CASS,W,4644,1 ELMCROFT ROAD,PITNEY BOWES SUPPLY LINE,STAMFORD,CT,US,6926
PTS,,4644,1 ELMCROFT ROAD,PITNEY BOWES SUPPLY LINE,STAMFORD,CT,USA,6926
SAP S4,SAP S4,300450,1 EXECUTIVE DRIVE,KEWILL INC,CHELMSFORD,MA,US,01824-0000
CASS,T,06257CA,1 FIRESTONE BLVD,FIRESTONE INDUSTRIAL PRODUCTS,WILLIAMSBURG,KY,US,40769
CASS,P,06257CC407,1 FIRESTONE BLVD,FIRESTONE INDUSTRIAL PRODUCTS,WILLIAMSBURG,KY,US,40769
PTS,,06257CA,1 FIRESTONE BLVD,FIRESTONE INDUSTRIAL PRODUCTS,WILLIAMSBURG,KY,USA,40769
PTS,,06257CC407,1 Firestone Blvd,Firestone Industrial Products,WILLIAMSBURG,KY,USA,40769
PTS,,06257CD,1 FIRESTONE BLVD,FIRESTONE INDUSTRIAL PRODUCTS,WILLIAMSBURG,KY,USA,40769
SAP S4,SAP S4,300451,1 FIRST AMERICAN WAY,FIRST AMERICAN TITLE INSURANCE,SANTA ANA,CA,US,92707
CASS,D,UNK,1 FOX HOLLOW ROAD,ADAM EQUIPMENT INC,OXFORD,CT,US,6478
CASS,P,UNK,1 FOXON ROAD,P P ENTERPRISE CO,N BRANFORD,CT,US,6471
CASS,P,UNK,1 FRANTZ RD,MESHOPPEN STONE INC,MESHOPPEN,PA,US,18630
SAP S4,SAP S4,21795AA,1 FRONT ST,CHEMTEX,CUMBERLAND,RI,US,2864
CASS,P,C223,1 FRONTIER STREET,CERVUS EQUPMENT PETERBILT,ESTEVAN,SK,CA,S4A2K9
CASS,W,UNK,1 GATEWAY DRIVE 17 16,ENERMECH PTD LTD,SINGAPORE,XX,SG,608531
CASS,T,20493AA,1 GENERAL STREET,GDX AUTOMOTIVE,WABASH,IN,US,46992
PTS,,20493AA,1 GENERAL STREET,GDX AUTOMOTIVE,WABASH,IN,USA,46992
CASS,P,UNK,1 GOLF DR,BCP TRANS,DEERFIELD,WI,US,53531
SAP S4,SAP S4,300452,1 GOVERNMENT CENTER PL SUITE B,WASHINGTON COUNTY TREASURER,ABINGDON,VA,US,24210-8484
CASS,W,4899,1 GREENLEAF DRIVE,GREENLEAF CORP,SAEGERTOWN,PA,US,16433
CASS,W,C0900,1 GWIHYEON DONG,VOLVO GROUP KOREA LTD,CHANGWON CITY,XX,KR,
SAP S4,SAP S4,305515,1 HARDINGE DR,HARDINGE INC,ELMIRA,NY,US,14903
CASS,P,UNK,1 HAROLD IVES DR,TRANSCO LINES INC,NORTH LITTLE ROCK,AR,US,72117
CASS,P,UNK,1 HENTRY STREET,KEITHS TRUCK REPAIR,CALEDONIA,MO,US,63631
CASS,T,UNK,1 HEXING ROAD,GUANGDONG HONGXING METAL TECHNO,GAOYAO,XX,CN,526108
CASS,W,6432,1 HIGHSTREET,SCHNEIDER ELECTRIC,NORTH ANDOVER,MA,US,1845
CASS,W,6432,1 HIGHSTREET,SCHNEIDER ELECTRIC,NORTH ANDOVER,MA,US,1845
PTS,,6432,1 HIGHSTREET,SCHNEIDER ELECTRIC,NORTH ANDOVER,MA,USA,1845
CASS,W,2886,1 INA DR,INA USA CORPORATION,CHERAW,SC,US,29520
CASS,W,2886,1 INA DR PLANT 1,INA USA CORPORATION,CHERAW,SC,US,29520
CASS,T,UNK,1 INTATA RD,SMS EQUPMENT,ELKFORD,BC,CA,V0B1H0
PPD Australia,,6000705,1 INTERNATIONAL DRIVE,The Pullman Company (previously Clevite Elastomers),MONROE,MI,US    ,48161
SAP S4,SAP S4,302391,1 INVOICE 2016,PETERBILT TRUCK CTR OF JACKSON,JACKSON,MS,US,39236
CASS,P,W029,1 JAIN DR,WORLDWIDE EQUIPMENT,CHARLESTON,WV,US,25313
CASS,P,W029003,1 JAIN DR,WORLDWIDE EQUIPMENT,CROSS LANES,WV,US,25313
SAP S4,SAP S4,W029,1 JAIN DRIVE,WORLDWIDE EQUIP S CHARLESTON,CROSS LANES,WV,US,25313
PTS,,W029,1 Jain Drive,"Worldwide Equipment, Inc.",CROSS LANES,WV,USA,25313
CASS,T,UNK,1 JAMCO CT,JAMCO PRODUCTS,SOUTH BELOIT,IL,US,61080
CASS,P,UNK,1 JEFFERSON BLVD,RYDER TRUCK RENTAL,WARWICK,RI,US,2888
SAP S4,SAP S4,305585,1 KENVIEW BOULEVARD,CHEMETALL CANADA LIMITED,BRAMPTON,ON,CA,L6T 5E6
SAP S4,SAP S4,300456,1 KINGDOM STREET,COGNIZANT WORLDWIDE LIMITED,LONDON,,GB,W26BD
CASS,P,UNK,1 KULLMAN CORPATE CAMPUS DRIVE,PEDOWITZ MACHINERY MOVERS,LEBANON,NJ,US,8833
CASS,T,10320AA,1 LAFRANCE WAY,LA FRANCE CORP,CONCORDVILLE,PA,US,19331
PTS,,10320AA,1 LAFRANCE WAY,LA FRANCE CORP,CONCORDVILLE,PA,USA,19331
SAP S4,SAP S4,305388,1 LAKE LOUISE DRIVE #4,AQUA TERR SYSTEMS INC,BELLINGHAM,WA,US,98229
