pec,Material,Description
pec,1929945,"Gasket,exhaust"
pec,1930520,"Pipe,fuel injection"
pec,1931721,Tappet
pec,1931960,"Strip,fixing-devtd."
pec,1932803,"Bearing,plain"
pec,1932890,"Gasket,cylinder head"
pec,1933121,"Valve,control"
pec,1933158,"Pipe,coolant"
pec,1933160,"Pipe,oil"
pec,1933533,Engine bearing shell
pec,1933971,"Clip,hose/pipe"
pec,1934162,Plug
pec,1934321,fuel rail
pec,1934436,Turbocharger unit
pec,1934641,Engine bearing shell
pec,1934642,Engine bearing shell
pec,1935146,Ppc-male
pec,1935147,Ppc-male
pec,1935148,Adaptor
pec,1935149,"Stud,shouldered,metr"
pec,1935414,Bonded seal
pec,1938764,"Bracket,elect.eqpt."
pec,1939743,Bearing cap
pec,1939774,"Bolt,flange-smooth"
pec,1939849,Connecting rod
pec,1939882,"Bracket,z,bent 3-4mm"
pec,1940933,Cover
pec,1941089,Hub
pec,1943262,"Stud,shouldered,metr"
pec,1943415,"Pipe,coolant"
pec,1943482,Flywheel
pec,1943996,Adaptor
pec,1944053,Roller guide V-belt
pec,1945026,Engine brake
pec,1945384,"Spring clip,fixing"
pec,1945474,"Pin,shear/break bolt"
pec,1945477,Spring cap
pec,1945943,"Clip,pipe-1-6 lines"
pec,1945970,"Pump,power steering"
pec,1946021,Coup.q.rel.fml.
pec,1946022,Coup.q.rel.fml.
pec,1946039,Guard
pec,1946509,"Bracket,z,bent 3-4mm"
pec,1947211,Flywheel housing
pec,1948132,Engine bearing shell
pec,1948287,Dipstick tube
pec,1948288,Dipstick tube
pec,1948298,"Plate,blanking"
pec,1948299,"Plate,blanking"
pec,1948823,"Pipe,oil"
pec,1949410,Power take off assy.
pec,1949530,"Plug,air-bleeding"
pec,1950134,"Spring clip,fixing"
pec,1951173,"Pipe,coolant,00-11"
pec,1951174,"Pipe,coolant,00-11"
pec,1951753,"Bracket,air inl.eng."
pec,1951803,"Pipe,coolant,00-11"
pec,1953296,"Valve,non return"
pec,1954793,"Pin,connecting"
pec,1955404,"Pipe,coolant,11-31"
pec,1955967,"Pipe,coolant,00-11"
pec,1955969,"Pipe,coolant,00-11"
pec,1955971,"Pipe,coolant,00-11"
pec,1955972,"Pipe,oil"
pec,1955973,"Pipe,coolant,00-11"
pec,1956560,"Pipe,coolant,00-11"
pec,1956561,"Pipe,coolant,00-11"
pec,1956632,"Bracket,tension pull"
pec,1956920,"Nozzle,oil"
pec,1957037,"Bolt,flange-smooth"
pec,1958122,"Pipe,sensor"
pec,1958279,Camshaft
pec,1958377,Spring cap
pec,1958642,"Pipe,coolant,11-31"
pec,1958722,Hub
pec,1972499,Heat shield
pec,1972970,"Pipe,fuel system"
pec,1972973,"Pipe,fuel system"
pec,1972974,"Pipe,fuel system"
pec,1972975,"Pipe,fuel system"
pec,1972976,"Pipe,fuel system"
pec,1972978,"Bracket,fuel syst."
pec,1972980,"Plate,guard"
pec,1972988,"Pipe,fuel system"
pec,1973051,"Pump,oil"
pec,1973208,"Pipe,oil"
pec,1973273,Turbocharger unit
pec,1973417,"Pipe,fuel system"
pec,1973418,"Pipe,fuel system"
pec,1973419,"Pipe,fuel system"
pec,1973420,"Pipe,fuel system"
pec,1973421,"Pipe,fuel system"
pec,1973422,"Pipe,fuel system"
pec,1973432,"Pipe,coolant,11-31"
pec,1973433,"Pipe,coolant,11-31"
pec,1974030,Injector
pec,1974489,"Pipe,coolant,00-11"
pec,1974490,"Pipe,coolant,11-31"
pec,1974491,"Bracket,cooling syst"
pec,1974717,Starter motor
pec,1974721,"Pipe,oil"
pec,1974723,"Pipe,coolant,11-31"
pec,1974724,"Pipe,coolant,11-31"
pec,1974727,"Line,air breather"
pec,1974729,"Pipe,coolant,00-11"
pec,1974943,Connecting piece
pec,1975946,"Pin,connecting"
pec,1976038,"Stud,shouldered,metr"
pec,1976450,"Pipe,air inlet syst."
pec,1976451,"Clip,hose/pipe"
pec,1976452,"Clip,hose/pipe"
pec,1976456,"Band,fixing"
pec,1976457,"Clip,hose/pipe"
pec,1976461,"Pipe,air inlet syst."
pec,1976463,"Pipe,air inlet syst."
pec,1976464,"Pipe,air inlet syst."
pec,1976465,"Bracket,air inlet"
pec,1976630,"Piston set,engine"
pec,1977104,Crankshaft
pec,1977619,"Band,fixing"
pec,1978179,"Gasket,cylinder head"
pec,1978258,"Pipe,compressor"
pec,1978259,"Hose,m40213/40214"
pec,1978261,"Pipe,compressor"
pec,1978284,Lifting eye
pec,1978288,Lifting eye
pec,1978289,Lifting eye
pec,1978302,"Bracket,elect.eqpt."
pec,1978314,"Bracket,elect.eqpt."
pec,1978318,"Bracket,elect.eqpt."
pec,1978320,"Bush,adapter"
pec,1978321,"Bracket,elect.eqpt."
pec,1979190,"Clip,hose/pipe"
pec,1979191,"Clip,hose/pipe"
pec,1979193,"Clip,hose/pipe"
